#ZVView-data-copy:   8-Nov-2020 23:41:31
#=======================================
#
#name:   ROSFOND-2010: CE-140(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  39182
#data...
#            X            Y
#          MeV        barns
    2.69195e-5      3.39488 
    2.88728e-5      3.38238 
    3.07509e-5      3.37042 
    3.27527e-5      3.35774 
    3.48832e-5       3.3443 
    3.68938e-5      3.33166 
    3.90203e-5      3.31833 
    4.15605e-5      3.30247 
    4.42639e-5      3.28564 
     4.5205e-5       3.2798 
    4.71454e-5      3.27021 
    5.02121e-5      3.25512 
    5.34808e-5      3.23907 
    5.69596e-5      3.22205 
    6.10925e-5      3.20188 
    6.50696e-5      3.18251 
    6.69186e-5      3.17353 
    6.88201e-5      3.16624 
    7.27868e-5      3.15107 
    7.64429e-5      3.13711 
    8.02865e-5      3.12246 
    8.43193e-5      3.10711 
     8.8559e-5        3.091 
    9.23603e-5      3.07657 
    9.63249e-5      3.06486 
    0.00010046      3.05266 
   0.000104772      3.03996 
   0.000109929      3.02478 
   0.000115457      3.00853 
   0.000121256       2.9915 
   0.000122967      2.98648 
   0.000127353      2.97661 
    0.00013375      2.96223 
   0.000139491      2.94933 
   0.000145479       2.9359 
   0.000151617      2.92213 
   0.000159241      2.90505 
   0.000160356      2.90255 
   0.000167953      2.88969 
   0.000175162      2.87749 
   0.000182681      2.86478 
   0.000190522      2.85153 
   0.000198485      2.83808 
   0.000206118       2.8252 
    0.00021346      2.81597 
   0.000221074      2.80639 
   0.000228948       2.7965 
    0.00023665      2.78682 
   0.000245079      2.77624 
   0.000252044       2.7675 
   0.000261034      2.75621 
   0.000262862      2.75392 
   0.000269054      2.74823 
   0.000278585      2.73946 
   0.000290082       2.7289 
     0.0002998      2.71997 
   0.000310788      2.70987 
    0.00032286      2.69879 
    0.00033588      2.68684 
   0.000348686      2.67838 
   0.000361292      2.67005 
   0.000374184      2.66154 
   0.000384352      2.65483 
   0.000396944      2.64652 
   0.000412211      2.63645 
   0.000427477      2.62638 
   0.000430471       2.6244 
   0.000442743      2.61864 
   0.000458513      2.61123 
   0.000473275       2.6043 
   0.000490133      2.59639 
   0.000503807      2.58997 
   0.000518123      2.58325 
   0.000536578      2.57459 
   0.000551825      2.56744 
   0.000555718      2.56561 
   0.000567506       2.5617 
   0.000583632      2.55636 
   0.000602983      2.54994 
   0.000625936      2.54234 
   0.000645694      2.53579 
   0.000671734      2.52716 
   0.000697347      2.51867 
   0.000725112      2.50948 
   0.000727666      2.50863 
   0.000753305      2.50261 
   0.000788303      2.49439 
   0.000824396      2.48592 
   0.000854928      2.47875 
    0.00088546      2.47158 
   0.000915992      2.46442 
   0.000946524      2.45725 
   0.000980239      2.44934 
    0.00100759      2.44461 
    0.00104348      2.43841 
     0.0010807      2.43197 
    0.00112709      2.42395 
    0.00116723      2.41701 
    0.00121276      2.40915 
    0.00126062      2.40087 
    0.00131291      2.39184 
    0.00135285      2.38493 
    0.00140111      2.37659 
    0.00146125      2.36692 
    0.00152398      2.35682 
    0.00157658      2.34836 
    0.00164877      2.33675 
    0.00168648      2.33068 
    0.00174036      2.32201 
     0.0017833       2.3151 
    0.00181913      2.30934 
     0.0018578      2.30312 
    0.00187976      2.29958 
    0.00190628      2.29532 
     0.0019404      2.28983 
    0.00195409      2.28763 
    0.00196778      2.28455 
    0.00200566      2.27601 
    0.00203085      2.27034 
    0.00205346      2.26524 
    0.00207607      2.26015 
    0.00209115      2.25676 
    0.00210623      2.25336 
     0.0021213      2.24997 
    0.00213638      2.24657 
    0.00215145      2.24318 
    0.00216652      2.23794 
     0.0021816      2.23271 
    0.00219667      2.22748 
    0.00221175      2.22225 
    0.00222306      2.21832 
    0.00223436       2.2144 
     0.0022419      2.21178 
    0.00225396       2.2076 
    0.00225999      2.20551 
    0.00226602      2.20223 
    0.00227656       2.1965 
     0.0022851      2.19185 
    0.00229316      2.18748 
     0.0023022      2.18256 
    0.00230871      2.17902 
    0.00231752      2.17424 
    0.00232632      2.16946 
    0.00233027      2.16731 
    0.00233422      2.16398 
    0.00234436      2.15542 
    0.00235044      2.15028 
    0.00235623      2.14539 
    0.00236202      2.14051 
    0.00236708      2.13624 
    0.00237215      2.13197 
    0.00237703      2.12785 
    0.00238192       2.1217 
    0.00238771      2.11441 
    0.00239223      2.10872 
    0.00239482      2.10546 
    0.00240001      2.09893 
    0.00240403      2.09387 
    0.00240806      2.08881 
    0.00241241      2.08089 
    0.00241677      2.07296 
    0.00242126      2.06479 
    0.00242575      2.05663 
    0.00242917      2.05042 
    0.00243258      2.04422 
     0.0024356      2.03649 
    0.00243963      2.02618 
    0.00244296      2.01766 
    0.00244645      2.00874 
    0.00244994      1.99982 
    0.00245278      1.99018 
    0.00245563      1.98055 
    0.00245847      1.97098 
    0.00246127      1.96151 
    0.00246408      1.94929 
    0.00246682      1.93733 
    0.00246953      1.92552 
    0.00247225      1.91372 
    0.00247496      1.89878 
    0.00247677      1.88883 
    0.00247948      1.87392 
    0.00248129      1.86162 
     0.0024831      1.84933 
    0.00248491      1.83705 
    0.00248672      1.82479 
    0.00248853       1.8097 
    0.00249034      1.79463 
    0.00249214      1.77958 
    0.00249395      1.76124 
    0.00249531       1.7475 
    0.00249667      1.73377 
    0.00249757      1.72463 
    0.00249802      1.71915 
    0.00249938      1.70274 
    0.00250074      1.68635 
    0.00250119       1.6809 
    0.00250213      1.66753 
    0.00250355       1.6475 
    0.00250496      1.62751 
    0.00250637      1.60361 
    0.00250731      1.58771 
    0.00250826      1.57182 
    0.00250873      1.56389 
    0.00250916      1.55528 
    0.00251003      1.53809 
    0.00251089      1.52092 
    0.00251133      1.51235 
    0.00251176      1.50243 
    0.00251263      1.48263 
    0.00251349      1.46287 
    0.00251393        1.453 
    0.00251436       1.4415 
    0.00251523      1.41852 
      0.002516      1.39809 
    0.00251642      1.38715 
    0.00251702      1.36858 
     0.0025177      1.34774 
    0.00251838      1.32694 
    0.00251868      1.31772 
    0.00251905      1.30458 
    0.00251973        1.281 
    0.00252018      1.26531 
    0.00252041      1.25655 
    0.00252109      1.23034 
    0.00252169      1.20711 
    0.00252188      1.19898 
    0.00252267      1.16496 
    0.00252312      1.14558 
     0.0025232      1.14195 
    0.00252373      1.11663 
    0.00252425      1.09139 
    0.00252456      1.07701 
    0.00252478      1.06503 
    0.00252531      1.03717 
    0.00252563      1.02032 
    0.00252599     0.999643 
    0.00252644     0.973632 
     0.0025267     0.958515 
    0.00252689     0.946613 
    0.00252735     0.918155 
     0.0025278     0.889816 
    0.00252825     0.859093 
    0.00252855     0.838713 
     0.0025287     0.827775 
     0.0025291     0.799205 
     0.0025293     0.784328 
    0.00252961     0.761097 
    0.00253006     0.726502 
    0.00253012      0.72188 
    0.00253045     0.694324 
    0.00253074     0.671497 
    0.00253079     0.666624 
    0.00253113     0.637572 
    0.00253147     0.608723 
    0.00253149     0.607133 
    0.00253179     0.579979 
    0.00253209     0.553034 
    0.00253224     0.539673 
     0.0025324     0.525556 
     0.0025327     0.497574 
    0.00253294     0.475069 
      0.002533     0.469647 
     0.0025333     0.441048 
     0.0025336     0.412809 
    0.00253379     0.395415 
     0.0025339     0.384866 
    0.00253417     0.360631 
    0.00253439     0.340177 
    0.00253462     0.320049 
    0.00253469     0.313463 
    0.00253484     0.300797 
    0.00253503     0.285306 
    0.00253507     0.282346 
    0.00253526     0.267933 
     0.0025353     0.265211 
    0.00253549     0.252035 
    0.00253552     0.249595 
    0.00253567     0.240225 
    0.00253575     0.235941 
    0.00253582     0.231868 
    0.00253596     0.225441 
    0.00253605     0.221584 
    0.00253615      0.21816 
    0.00253624     0.215508 
    0.00253631     0.213767 
    0.00253633     0.213424 
    0.00253639     0.212592 
    0.00253647     0.211883 
    0.00253652     0.211677 
    0.00253654     0.211681 
     0.0025366     0.211999 
    0.00253665     0.212599 
     0.0025367     0.213385 
    0.00253671     0.213527 
    0.00253677     0.214978 
    0.00253682     0.216767 
    0.00253688     0.218824 
    0.00253688     0.218924 
    0.00253693     0.221597 
    0.00253695     0.222483 
      0.002537     0.225353 
    0.00253705     0.228553 
    0.00253706     0.229565 
     0.0025371     0.232097 
    0.00253714     0.236048 
    0.00253719     0.239904 
    0.00253722     0.243595 
    0.00253723     0.244082 
    0.00253727     0.248774 
    0.00253731     0.253792 
    0.00253736      0.25977 
    0.00253738     0.262338 
    0.00253741     0.266379 
    0.00253745     0.272473 
    0.00253749      0.27931 
    0.00253753     0.286562 
    0.00253757     0.292971 
    0.00253757     0.294307 
    0.00253761     0.302305 
    0.00253767     0.314324 
    0.00253773     0.327257 
    0.00253773     0.328405 
    0.00253777     0.337909 
    0.00253782     0.350462 
    0.00253787     0.365137 
     0.0025379     0.373617 
    0.00253791      0.37799 
    0.00253795     0.391777 
      0.002538     0.408774 
    0.00253804     0.423369 
    0.00253805     0.426903 
    0.00253811     0.447507 
    0.00253816     0.471456 
     0.0025382     0.488519 
    0.00253822     0.497275 
    0.00253826      0.51813 
    0.00253831     0.542542 
    0.00253834     0.560598 
    0.00253835     0.568526 
     0.0025384     0.596412 
    0.00253845     0.625884 
    0.00253848     0.647697 
     0.0025385     0.657258 
    0.00253854     0.690937 
    0.00253859     0.726548 
    0.00253862     0.752998 
    0.00253864     0.768457 
     0.0025387     0.817927 
    0.00253876     0.870908 
    0.00253876     0.880368 
    0.00253881     0.928558 
    0.00253886     0.977291 
    0.00253886     0.980008 
    0.00253891      1.03524 
    0.00253895      1.09403 
    0.00253896      1.09704 
      0.002539      1.16387 
    0.00253905      1.23516 
    0.00253906      1.24749 
     0.0025391      1.31236 
    0.00253916      1.40245 
    0.00253917      1.42798 
    0.00253921      1.50062 
    0.00253926      1.60688 
    0.00253928      1.64108 
    0.00253932      1.72273 
    0.00253936      1.82638 
    0.00253937      1.84875 
    0.00253941      1.94686 
    0.00253945      2.05862 
    0.00253946      2.08567 
    0.00253949      2.17882 
    0.00253953       2.3014 
    0.00253954      2.30732 
    0.00253958      2.44575 
     0.0025396      2.54652 
    0.00253962      2.59406 
    0.00253966       2.7536 
    0.00253968      2.82338 
     0.0025397      2.92531 
    0.00253974       3.1011 
    0.00253975       3.1368 
    0.00253978       3.2811 
    0.00253982      3.47309 
    0.00253982       3.4935 
    0.00253985      3.67956 
    0.00253989      3.89983 
    0.00253993      4.13725 
    0.00253996      4.36503 
    0.00253997      4.39067 
       0.00254      4.66334 
    0.00254002      4.78019 
    0.00254005      4.98637 
    0.00254008      5.24038 
    0.00254009      5.36847 
    0.00254013      5.74962 
    0.00254014      5.78459 
    0.00254018       6.2383 
    0.00254019       6.3202 
    0.00254023      6.73298 
    0.00254025      6.95632 
    0.00254027       7.2717 
     0.0025403      7.66179 
    0.00254032      7.85857 
    0.00254036      8.44393 
    0.00254036      8.49747 
    0.00254041      9.19415 
    0.00254042      9.31963 
    0.00254045      9.95274 
    0.00254047      10.2951 
     0.0025405      10.7782 
    0.00254053      11.3748 
    0.00254054      11.6754 
    0.00254058      12.5278 
    0.00254059      12.6506 
    0.00254063      13.7099 
    0.00254068      14.8607 
    0.00254068      15.0157 
    0.00254072      16.1084 
    0.00254074      16.4437 
    0.00254077      17.3435 
    0.00254079      18.0032 
     0.0025408      18.5465 
    0.00254084      19.7003 
    0.00254084      19.8298 
    0.00254088      21.1994 
    0.00254089      21.5626 
    0.00254092      22.6594 
    0.00254094      23.5892 
    0.00254095      24.2131 
    0.00254099      25.7814 
    0.00254099      25.8647 
    0.00254103      27.6216 
    0.00254104      28.1791 
    0.00254107      29.4869 
    0.00254109      30.7872 
    0.00254112       32.497 
    0.00254115       33.804 
    0.00254118      35.7764 
     0.0025412      37.1974 
    0.00254124        39.34 
    0.00254126      40.8797 
    0.00254129      43.2032 
    0.00254132      44.8677 
    0.00254135      47.3775 
    0.00254137      49.1663 
     0.0025414      51.4126 
    0.00254143         53.8 
    0.00254145      55.7188 
    0.00254149        58.77 
     0.0025415       60.304 
    0.00254155      65.1702 
    0.00254156      65.9368 
    0.00254162      72.1096 
    0.00254164      73.7603 
    0.00254169      79.5657 
    0.00254171      82.2138 
    0.00254176      87.5364 
    0.00254179      91.2948 
    0.00254182      96.0135 
    0.00254186      100.986 
    0.00254189       104.98 
    0.00254194       111.31 
    0.00254198      117.661 
    0.00254204      125.707 
    0.00254207       131.09 
    0.00254216       144.23 
    0.00254217      146.112 
    0.00254234      173.638 
    0.00254251      201.602 
    0.00254258      213.555 
    0.00254263      221.204 
     0.0025427      232.623 
    0.00254275      239.739 
    0.00254282      250.343 
    0.00254284      252.767 
    0.00254291      262.387 
    0.00254293      264.548 
      0.002543       273.11 
    0.00254302      274.968 
    0.00254309      282.304 
    0.00254311      283.821 
    0.00254317      288.806 
    0.00254318      289.787 
    0.00254327      295.045 
    0.00254327       295.41 
    0.00254336      298.824 
    0.00254336       299.06 
     0.0025434      299.754 
    0.00254345      300.594 
    0.00254348      300.749 
    0.00254348      300.732 
    0.00254356      299.784 
    0.00254358      299.567 
    0.00254364      297.416 
    0.00254365      297.052 
    0.00254371      293.898 
    0.00254373      293.266 
    0.00254382      286.365 
    0.00254383      285.484 
    0.00254392      277.751 
    0.00254393      276.473 
      0.002544      268.715 
    0.00254402      267.261 
     0.0025441      256.992 
    0.00254415      250.556 
     0.0025442      244.075 
    0.00254429      230.158 
    0.00254432      226.667 
    0.00254459      185.065 
    0.00254464      177.167 
    0.00254475      161.077 
    0.00254477      157.778 
    0.00254486      144.768 
    0.00254489      140.881 
    0.00254496      130.457 
    0.00254497      128.875 
    0.00254505      119.708 
    0.00254506      117.536 
    0.00254513      109.589 
    0.00254515      106.923 
     0.0025452      101.114 
    0.00254521      100.265 
