# E (eV),Tr beamline
86.908545,0.614392
87.178575,0.696485
87.448605,0.770605
87.718635,0.820281
87.988665,0.852045
88.258695,0.869997
88.528725,0.881673
88.798755,0.889710
89.068785,0.895076
89.338815,0.895746
89.608845,0.855506
89.878875,0.772448
90.148905,0.709158
90.418935,0.722202
90.688965,0.724376
90.958995,0.672153
91.229025,0.668798
91.499055,0.677350
91.769085,0.664297
92.039115,0.676460
92.309145,0.723765
92.579175,0.729091
92.849205,0.693974
93.119235,0.705498
93.389265,0.764693
93.659295,0.818169
93.929325,0.854729
94.199355,0.877815
94.469385,0.893930
94.739415,0.906823
95.009445,0.915410
95.279475,0.918892
95.549505,0.921159
95.819535,0.922475
96.089565,0.922364
96.359596,0.921093
96.629626,0.920051
96.899656,0.904542
97.169686,0.825868
97.439716,0.734139
97.709746,0.709906
97.979776,0.707042
98.249806,0.655707
98.519836,0.557216
98.789866,0.483939
99.059896,0.430844
99.329926,0.395797
99.599956,0.362769
99.869986,0.303134
100.140003,0.229314
100.410010,0.174846
100.680017,0.161027
100.950024,0.175412
101.220030,0.202489
101.490037,0.242910
101.760044,0.296281
102.030051,0.361842
102.300057,0.430920
102.570064,0.499003
102.840071,0.559396
103.110078,0.609019
103.380084,0.648515
103.650091,0.662399
103.920098,0.662794
104.190105,0.676153
104.460111,0.711190
104.730118,0.740055
105.000125,0.739491
105.270132,0.725189
105.540138,0.654640
105.810145,0.615479
106.080152,0.554911
106.350159,0.523086
106.620165,0.521170
106.890172,0.514715
107.160179,0.448065
107.430186,0.446358
107.700192,0.468802
107.970199,0.499812
108.240206,0.580147
108.510213,0.644058
108.780219,0.683816
109.050226,0.723956
109.320233,0.752044
109.590240,0.770229
109.860246,0.790725
110.130253,0.804608
110.400260,0.813636
110.670267,0.825125
110.940273,0.833248
111.210280,0.839711
111.480287,0.849636
111.750294,0.858632
112.020300,0.866662
112.290307,0.874713
112.560314,0.880254
112.830321,0.884403
113.100327,0.887798
113.370334,0.890549
113.640341,0.892581
113.910348,0.893586
114.180354,0.892761
114.450361,0.888048
114.720368,0.872748
114.990375,0.811799
115.260382,0.742379
115.530388,0.643361
115.800395,0.600620
116.070402,0.569889
116.340409,0.537461
116.610415,0.538726
116.880422,0.472724
117.150429,0.476355
117.420436,0.470028
117.690442,0.501653
117.960449,0.574439
118.230456,0.614074
118.500463,0.642356
118.770469,0.631593
119.040476,0.639125
119.310483,0.669240
119.580490,0.711435
119.850496,0.725857
120.120503,0.713579
120.390510,0.699075
120.660517,0.705069
120.930523,0.731512
121.200530,0.766509
121.470537,0.797923
121.740544,0.820505
122.010550,0.839497
122.280557,0.852048
122.550564,0.864760
122.820571,0.873106
123.090577,0.879654
123.360584,0.884925
123.630591,0.888966
123.900598,0.893142
124.170604,0.896105
124.440611,0.899491
124.710618,0.901845
124.980625,0.904250
125.250631,0.905792
125.520638,0.907187
125.790645,0.907109
126.060652,0.898488
126.330658,0.860895
126.600665,0.776024
126.870672,0.720034
127.140679,0.638197
127.410685,0.608430
127.680692,0.615927
127.950699,0.580914
128.220706,0.588705
128.490712,0.525758
128.760719,0.515263
129.030726,0.493704
129.300733,0.527063
129.570739,0.565112
129.840746,0.624159
130.110753,0.669440
130.380760,0.712984
130.650766,0.743240
130.920773,0.767686
131.190780,0.787273
131.460787,0.802226
131.730793,0.815429
132.000800,0.824931
132.270807,0.834598
132.540814,0.841168
132.810820,0.848735
133.080827,0.853633
133.350834,0.859970
133.620841,0.864037
133.890847,0.870035
134.160854,0.875873
134.430861,0.882707
134.700868,0.887730
134.970874,0.893522
135.240881,0.897204
135.510888,0.899714
135.780895,0.901080
136.050901,0.899855
136.320908,0.888727
136.590915,0.807721
136.860922,0.766058
137.130928,0.680325
137.400935,0.655887
137.670942,0.687947
137.940949,0.690270
138.210955,0.705535
138.480962,0.636118
138.750969,0.530333
139.020976,0.430862
139.290982,0.407238
139.560989,0.427009
139.830996,0.506377
140.101003,0.573618
140.371009,0.583954
140.641016,0.606107
140.911023,0.554966
141.181030,0.596994
141.451036,0.585713
141.721043,0.654790
141.991050,0.688704
142.261057,0.735994
142.531063,0.770154
142.801070,0.790784
143.071077,0.812253
143.341084,0.822515
143.611090,0.837618
143.881097,0.840847
144.151104,0.841899
144.421111,0.772663
144.691117,0.729871
144.961124,0.674057
145.231131,0.641116
145.501138,0.690459
145.771144,0.683826
146.041151,0.744754
146.311158,0.689396
146.581165,0.704487
146.851171,0.621340
147.121178,0.638233
147.391185,0.635719
147.661192,0.649798
147.931198,0.721509
148.201205,0.726106
148.471212,0.775888
148.741219,0.718836
149.011225,0.718041
149.281232,0.714746
149.551239,0.725467
149.821246,0.745378
150.091252,0.728868
150.361259,0.686270
150.631266,0.638396
150.901273,0.627942
151.171279,0.613708
151.441286,0.635208
151.711293,0.670633
151.981300,0.672859
152.251306,0.672893
152.521313,0.680220
152.791320,0.676043
153.061327,0.686530
153.331333,0.715625
153.601340,0.750669
153.871347,0.776768
154.141354,0.814258
154.411360,0.828999
154.681367,0.843368
154.951374,0.853556
155.221381,0.860609
155.491387,0.868999
155.761394,0.872926
156.031401,0.878165
156.301408,0.881625
156.571414,0.884617
156.841421,0.888037
157.111428,0.889899
157.381435,0.892569
157.651441,0.893100
157.921448,0.894328
158.191455,0.898785
158.461462,0.901064
158.731468,0.904026
159.001475,0.905841
159.271482,0.907033
159.541489,0.908816
159.811495,0.910359
160.081502,0.911290
160.351509,0.904285
160.621516,0.903766
160.891522,0.907979
161.161529,0.904263
161.431536,0.910622
161.701543,0.913571
161.971549,0.914149
162.241556,0.914703
162.511563,0.910421
162.781570,0.913616
163.051576,0.910613
163.321583,0.909179
163.591590,0.916079
163.861597,0.914594
164.131603,0.918250
164.401610,0.921964
164.671617,0.922211
164.941624,0.925077
165.211630,0.925518
165.481637,0.926492
